Liste des candidats,Nuance,Voix,Elu(e),pourcentage_inscrits,pourcentage_exprimes,abstentions,circo,dep,reg,groupe_nuance
M. Régis SARAZIN,DVD,13739,QUALIF T2,0.1657217987069381,0.26704633805007,29994,7706,77,11,lr
Mme Laurence CRISTOL,ENS,19714,QUALIF T2,0.2095985370417623,0.2909600767471035,24655,3403,34,76,en
Mme Charline LIOTIER,UG,13113,QUALIF T2,0.1364246402896409,0.1996255023748629,28539,0104,01,84,fp
Mme Nadia EL HAJJAJI,UG,12776,QUALIF T2,0.167908633310991,0.2679530201342281,27176,6805,68,44,fp
M. Jean-Henri SOUMIREU-LARTIGUE,UG,16066,QUALIF T2,0.1637332735444289,0.2325170776890124,27780,6909,69,84,fp
Mme Valérie GOLÉO,UG,18769,QUALIF T2,0.1840440866435904,0.2663062756282013,29179,6304,63,84,fp
Mme Anne-Laurence PETEL,ENS,19853,QUALIF T2,0.1985577980917328,0.2891073248871414,29759,1314,13,93,en
Mme Laurie CAENBERGS,UG,13985,QUALIF T2,0.155745372742054,0.2452261130302127,31193,7705,77,11,fp
M. Thomas DUPONT-FEDERICI,UG,16124,QUALIF T2,0.1734770727088847,0.2446254911777646,25628,1405,14,28,fp
M. Ismaël STEVENSON,UG,13039,QUALIF T2,0.1283505103899044,0.1835186488388459,28855,4205,42,84,fp
M. Hervé PRONONCE,ENS,13156,QUALIF T2,0.1570153243901274,0.2407539573611492,27707,6301,63,84,en
M. Jean-François ELIAOU,ENS,19260,QUALIF T2,0.1599455221897422,0.2256484757597769,32147,3404,34,76,en
Mme Eloïse GONZALEZ,UG,10658,QUALIF T2,0.1382808952319169,0.216886103253902,26156,3601,36,24,fp
