Liste des candidats,Nuance,Voix,Elu(e),pourcentage_inscrits,pourcentage_exprimes,abstentions,circo,dep,reg
M. Ladislas VERGNE,LR,4388,NON,0.04792224103096161,0.07178027514681586,29049,2801,28,24
M. Pierre-Louis DELAUNEY,REC,698,NON,0.007623000054606017,0.011418102108586478,29049,2801,28,24
Mme Marie-José AUBERT,EXG,659,NON,0.007197073117457544,0.010780127922003566,29049,2801,28,24
Mme Mélanie THOMIN,UG,24664,QUALIF T2,0.26931644463856735,0.378770194729406,24649,2906,29,53
M. Patrick LE FUR,RN,19671,QUALIF T2,0.21479580694474776,0.30209165182136494,24649,2906,29,53
M. Erwan CROUAN,ENS,18223,QUALIF T2,0.1989844944310985,0.2798544136617728,24649,2906,29,53
M. Tugdal PERENNEC,DVG,808,NON,0.008822887093251802,0.01240862460839118,24649,2906,29,53
M. Philippe CORDIER,EXG,753,NON,0.008222319283686394,0.011563978131334848,24649,2906,29,53
Mme Evelyne CARAYON,REC,637,NON,0.006955667176239353,0.00978254192517968,24649,2906,29,53
M. Kenny DELFERRIERE,EXG,360,NON,0.003930989298973575,0.005528595122550525,24649,2906,29,53
M. Christian PEREZ,RN,20003,QUALIF T2,0.21804249010780585,0.30801330417911366,25116,2908,29,53
M. Erwan BALANANT,ENS,18031,QUALIF T2,0.19654672494795017,0.2776477472205968,25116,2908,29,53
M. Sébastien MIOSSEC,DVG,14399,QUALIF T2,0.15695614733101515,0.22172092020572204,25116,2908,29,53
M. Thomas LE BON,UG,11768,QUALIF T2,0.12827695963548763,0.1812078470019402,25116,2908,29,53
Mme Anne MOREL,EXG,741,NON,0.008077262669093843,0.011410181392627268,25116,2908,29,53
Mme Jugdeep HARVINDER,UG,18952,QUALIF T2,0.22642501284333522,0.31055615639235734,21122,2907,29,53
Mme Liliana TANGUY,ENS,18709,QUALIF T2,0.22352182172256008,0.3065742470422443,21122,2907,29,53
Mme Annick ALANOU,RN,15927,QUALIF T2,0.1902844649406817,0.2609871202438305,21122,2907,29,53
M. Marc RAHER,LR,4470,NON,0.053404379875987146,0.07324746829220333,21122,2907,29,53
Mme Aela MALET,REG,1135,NON,0.013560172518846848,0.018598630092091895,21122,2907,29,53
M. Régis DEBLIQUI,EXG,972,NON,0.01161276448310056,0.015927637400452267,21122,2907,29,53
M. Jacques TANGUY,DVC,861,NON,0.010286615452623027,0.014108740536820371,21122,2907,29,53
Mme Annaïg LE MEUR,ENS,22422,QUALIF T2,0.2428305319701958,0.3300362094851188,22747,2901,29,53
M. Grégory LEBERT,UG,22303,QUALIF T2,0.2415417605267718,0.3282846124407548,22747,2901,29,53
Mme Christel HÉNAFF,RN,16083,QUALIF T2,0.17417908508057528,0.23673054844122582,22747,2901,29,53
M. Alain LE GRAND,LR,5652,NON,0.061211228556575986,0.08319349995584209,22747,2901,29,53
M. Serge HARDY,EXG,858,NON,0.009292150407208455,0.012629161882893225,22747,2901,29,53
Mme France HERMAN,REC,620,NON,0.006714607520360423,0.009125967794165269,22747,2901,29,53
Mme Graziella MELCHIOR,ENS,21567,QUALIF T2,0.21839778837682655,0.30304350269784175,26027,2905,29,53
Mme Gladys GRELAUD,UG,19371,QUALIF T2,0.19616003888568218,0.2721869379496403,26027,2905,29,53
Mme Renée THOMAÏDIS,RN,18884,QUALIF T2,0.19122844325627084,0.2653439748201439,26027,2905,29,53
M. Félix BRIANT,LR,7943,NON,0.08043462851009103,0.11160915017985612,26027,2905,29,53
M. Marcel BERROU,REG,1807,NON,0.018298548875454426,0.025390625,26027,2905,29,53
M. Alexandre MARTIN,DSV,641,NON,0.006491073508116374,0.009006857014388489,26027,2905,29,53
M. Christian CAJEAN,EXG,553,NON,0.005599943291713502,0.007770346223021583,26027,2905,29,53
M. Dominique LERESTIF,DVC,402,NON,0.004070844852204028,0.005648606115107913,26027,2905,29,53
M. Pierre-Yves CADALEN,UG,18850,QUALIF T2,0.24115344267328506,0.35282446748774005,23609,2902,29,53
M. Denis KERVELLA,RN,12065,QUALIF T2,0.1543509965969859,0.22582637667053496,23609,2902,29,53
M. Jean-Charles LARSONNEUR,DVC,9874,QUALIF T2,0.1263209067881176,0.18481638153707933,23609,2902,29,53
M. Tristan BRÉHIER,ENS,9105,NON,0.11648286978993425,0.17042264066185003,23609,2902,29,53
Mme Françoise HOUARD,LR,1444,NON,0.018473505104521146,0.027028038782615206,23609,2902,29,53
Mme Geneviève HENRY,ECO,1131,NON,0.014469206560397104,0.021169468049264402,23609,2902,29,53
M. Alain ROUSSEAU,REC,373,NON,0.004771895709131848,0.006981619436229551,23609,2902,29,53
M. Rémy COLLARD,EXG,357,NON,0.004567203131796433,0.006682139782128551,23609,2902,29,53
M. Melvyn HITA,EXG,172,NON,0.0022004452063557043,0.003219406281585745,23609,2902,29,53
M. Martial KOFFI,EXD,55,NON,0.0007036307345904869,0.001029461310972186,23609,2902,29,53
Mme Sylvaine VULPIANI,UG,18765,QUALIF T2,0.22242899815087003,0.3092452208305867,22356,2904,29,53
Mme Sandrine LE FEUR,ENS,18586,QUALIF T2,0.22030724005499977,0.3062953197099539,22356,2904,29,53
M. Tony BIHOUEE,RN,15690,QUALIF T2,0.18597980181119908,0.258569545154911,22356,2904,29,53
Mme Agnès LE BRUN,DVD,6697,NON,0.07938220093878906,0.11036585365853659,22356,2904,29,53
Mme Patricia BLOSSE,EXG,942,NON,0.011165900146982126,0.015524060646011865,22356,2904,29,53
M. Didier LE GAC,ENS,26139,QUALIF T2,0.2785100103353116,0.38920488385944013,24830,2903,29,53
Mme Martine DONVAL,RN,18627,QUALIF T2,0.19846994768414436,0.2773525908278737,24830,2903,29,53
M. Pierre SMOLARZ,UG,18074,QUALIF T2,0.19257775457364176,0.2691185229303157,24830,2903,29,53
Mme Hélène FAVE,REG,1808,NON,0.019264168433614268,0.02692078618225134,24830,2903,29,53
Mme Marie-Louise THOMAS,DSV,1050,NON,0.011187708437663153,0.01563430613460393,24830,2903,29,53
M. Matthieu MULLER,EXG,742,NON,0.007905980629281962,0.011048243001786778,24830,2903,29,53
M. Ronan PERROT,REC,427,NON,0.0045496680979830156,0.006357951161405599,24830,2903,29,53
Mme Annie COLINET,DIV,293,NON,0.003121903402128861,0.004362715902322812,24830,2903,29,53
Mme Ariane QUARENA,RN,10377,QUALIF T2,0.19769479900933512,0.31200577287350795,18651,2A01,2A,94
M. Laurent MARCANGELI,ENS,10210,QUALIF T2,0.19451324061726044,0.30698457560359604,18651,2A01,2A,94
M. Romain COLONNA,REG,5601,NON,0.10670603924557058,0.16840554436393157,18651,2A01,2A,94
M. Marc-Antoine LEROY,COM,3125,NON,0.05953514955229568,0.0939595297513455,18651,2A01,2A,94
Mme Emmanuelle DOMINICI,REG,1533,NON,0.029205562964374168,0.04609278691482005,18651,2A01,2A,94
M. Lisandru LUCIANI,REG,1202,NON,0.02289959992379501,0.036140593523557536,18651,2A01,2A,94
M. Jean-François LUCIANI,REG,1078,NON,0.020537245189559915,0.03241227938302414,18651,2A01,2A,94
M. Didier QUILICHINI,EXG,133,NON,0.002533815964945704,0.003998917586217264,18651,2A01,2A,94
M. François FILONI,RN,13620,QUALIF T2,0.2179374349947996,0.35096760893653206,22874,2A02,2A,94
M. Paul-André COLOMBANI,REG,10266,QUALIF T2,0.1642691415313225,0.2645399025948927,22874,2A02,2A,94
Mme Valérie BOZZI,DVD,6538,NON,0.10461636930954477,0.16847475970830006,22874,2A02,2A,94
M. Jean-Baptiste LUCCIONI,SOC,4780,NON,0.07648611888951116,0.12317365423763754,22874,2A02,2A,94
M. Jean-Baptiste CUCCHI,REG,2548,NON,0.040771261700936076,0.06565825753085784,22874,2A02,2A,94
M. Michel CHIOCCA,REG,1055,NON,0.016881350508040644,0.027185816991779833,22874,2A02,2A,94
M. François-Xavier CECCOLI,DVD,15100,QUALIF T2,0.22229746639775053,0.34048886082799673,22746,2B02,2B,94
M. Jean-Félix ACQUAVIVA,REG,12698,QUALIF T2,0.18693597538534015,0.28632632813204656,22746,2B02,2B,94
Mme Sylvie JOUART,RN,11275,QUALIF T2,0.16598701547249253,0.25423919906196446,22746,2B02,2B,94
Mme Hélène SANCHEZ,VEC,2668,NON,0.03927745962577473,0.06016054839000631,22746,2B02,2B,94
M. Antò CARLI,REG,2277,NON,0.033521280197859465,0.05134391629836746,22746,2B02,2B,94
Mme Viviane RONGIONE,EXG,280,NON,0.004122072224594049,0.00631370073058537,22746,2B02,2B,94
Mme - BARONNE MARIE-LOUISE MARIANI,DIV,50,NON,0.0007360843258203659,0.0011274465590331018,22746,2B02,2B,94
M. Jean-Antoine GIACOMI,REG,0,NON,0.0,0.0,22746,2B02,2B,94
M. Michel CASTELLANI,REG,11962,QUALIF T2,0.19258138261905527,0.31737861501724596,23561,2B01,2B,94
M. Jean-Michel MARCHAL,RN,10855,QUALIF T2,0.17475931352030138,0.2880074290262669,23561,2B01,2B,94
M. Julien MORGANTI,DVC,5436,NON,0.08751650191583218,0.14422923852480765,23561,2B01,2B,94
M. Sacha BASTELICA,FI,3352,NON,0.053965289628747144,0.08893605730963121,23561,2B01,2B,94
M. Jean-François PAOLI,DVC,2045,NON,0.03292333451395821,0.05425842398514195,23561,2B01,2B,94
M. Nicolas BATTINI,REG,1603,NON,0.025807386418520786,0.042531175378084374,23561,2B01,2B,94
M. Jean-Baptiste LUCCIARDI,REG,1471,NON,0.02368226164793766,0.03902892013796763,23561,2B01,2B,94
M. Alexis FERNANDEZ,DSV,393,NON,0.006327076021508838,0.010427169010347572,23561,2B01,2B,94
M. Jean-Michel LAMBERTI,REC,370,NON,0.00595678912966481,0.009816927566993898,23561,2B01,2B,94
M. Olivier JOSUÉ,EXG,203,NON,0.003268184306275558,0.005386044043512868,23561,2B01,2B,94
Mme Sylvie JOSSERAND,RN,23382,QUALIF T2,0.273240391244902,0.420660621761658,28866,3006,30,76
M. Nicolas CADÈNE,UG,15992,QUALIF T2,0.18688137613499586,0.28770869314910763,28866,3006,30,76
M. Aurélien COLSON,ENS,11521,QUALIF T2,0.13463358769705397,0.20727187679907888,28866,3006,30,76
M. Clément STEVANT,LR,3202,NON,0.03741834457130169,0.05760650546919977,28866,3006,30,76
Mme Laura AFFORTIT,REG,1110,NON,0.01297138115994531,0.019969775474956823,28866,3006,30,76
Mme Aïcha TERBECHE,EXG,377,NON,0.004405595222792236,0.0067825273459988485,28866,3006,30,76
M. Alexandre ALLEGRET-PILOT,UXD,27602,QUALIF T2,0.278889775792909,0.4101032612733081,29366,3005,30,76
M. Michel SALA,UG,22228,QUALIF T2,0.2245910418203312,0.33025778173984105,29366,3005,30,76
Mme Catherine DAUFÈS-ROUX,ENS,10362,NON,0.10469733558315061,0.1539558725206151,29366,3005,30,76
Mme Léa BOYER,LR,5399,NON,0.054551333218821677,0.08021692296263279,29366,3005,30,76
Mme Agnès OLINET,EXG,961,NON,0.009709915025613563,0.01427828541713097,29366,3005,30,76
M. Nordine TRIA,DIV,752,NON,0.007598185327014984,0.0111730183493054,29366,3005,30,76
M. Emmanuel ESPANOL,EXD,1,NON,1.0103969849753968e-05,1.4857737166629522e-05,29366,3005,30,76
M. Nicolas MEIZONNET,RN,34427,OUI,0.35742688358475483,0.5221908748938235,28962,3002,30,76
Mme Katy GUYOT,UG,15727,NON,0.1632803496714044,0.23854811309307122,28962,3002,30,76
Mme Sophie PELLEGRIN PONSOLE,ENS,9300,NON,0.09655415857722775,0.14106297779395705,28962,3002,30,76
Mme Catherine BOLLE,LR,4155,NON,0.04313790633208401,0.06302329814342919,28962,3002,30,76
Mme Véronique JULLIAN,UDI,1841,NON,0.019113570531255515,0.027924402378352142,28962,3002,30,76
M. Stéphane MANSON,EXG,478,NON,0.004962676107517727,0.007250333697366824,28962,3002,30,76
M. Pierre MEURIN,RN,31366,QUALIF T2,0.3300051553441981,0.4868909206625169,28841,3004,30,76
M. Arnaud BORD,UG,17639,QUALIF T2,0.18558187002219953,0.27380823023548223,28841,3004,30,76
Mme Nadia EL OKKI,ENS,10538,NON,0.11087146359169674,0.16358019900343057,28841,3004,30,76
M. Pierre MARTIN,LR,3930,NON,0.041347964691152796,0.06100495180143121,28841,3004,30,76
M. Jérôme GARCIA,EXG,948,NON,0.009974012856797164,0.014715698297139132,28841,3004,30,76
Mme Pascale BORDES,RN,31465,QUALIF T2,0.3280132602214207,0.474835886214442,27885,3003,30,76
Mme Sabine OROMI,UG,15181,QUALIF T2,0.15825740675103725,0.2290952991775447,27885,3003,30,76
M. Christian BAUME,ENS,12727,QUALIF T2,0.13267518712340762,0.19206217460197691,27885,3003,30,76
M. Florent GRAU,LR,5988,NON,0.06242311781998624,0.09036444578585981,27885,3003,30,76
M. Valery FOURMI,EXG,640,NON,0.006671809519838209,0.00965819059835509,27885,3003,30,76
M. Christophe PREVOST,REG,199,NON,0.002074515772574693,0.0030030936391760355,27885,3003,30,76
M. Daniel JEAN,DVD,65,NON,0.000677605654358568,0.0009809099826454388,27885,3003,30,76
M. Yoann GILLET,RN,24894,QUALIF T2,0.2754919103162834,0.4390631062824086,32430,3001,30,76
M. Charles MENARD,UG,16747,QUALIF T2,0.18533232996170956,0.29537197079262056,32430,3001,30,76
Mme Valérie ROUVERAND,ENS,11394,QUALIF T2,0.12609282663066332,0.20095946946982257,32430,3001,30,76
Mme Loumy BOURGHOL,LR,3076,NON,0.03404085788273832,0.05425235458040848,32430,3001,30,76
Mme Isabelle LECLERC,EXG,587,NON,0.006496093490626591,0.01035309887473985,32430,3001,30,76
M. Loïc DELCHARD,RN,23893,QUALIF T2,0.27751579632038653,0.40535771847377977,25122,3108,31,76
M. Joël AVIRAGNET,UG,21751,QUALIF T2,0.25263659171157776,0.3690175254059006,25122,3108,31,76
Mme Céline LAURENTIES-BARRERE,ENS,9227,NON,0.10717106485783312,0.15654106509678842,25122,3108,31,76
M. Wilfried SERRE,DVD,1805,NON,0.020964969336554545,0.030622805082876677,25122,3108,31,76
Mme Lucie VIOLA,DSV,746,NON,0.008664746329678499,0.012656295064723546,25122,3108,31,76
M. Alain PERES,REC,728,NON,0.008455677383385988,0.01235091529104389,25122,3108,31,76
Mme Martine GUIRAUD,EXG,536,NON,0.00622560862293254,0.009093531038460886,25122,3108,31,76
Mme Dominique DARROZÉS,DVC,257,NON,0.002985039955398625,0.004360144546426209,25122,3108,31,76
M. Gaëtan INARD,UXD,30042,QUALIF T2,0.2775780982915854,0.4037469089345232,31112,3107,31,76
M. Christophe BEX,UG,24681,QUALIF T2,0.22804423952914654,0.3316982044941404,31112,3107,31,76
Mme Elisabeth TOUTUT-PICARD,ENS,18462,QUALIF T2,0.17058274584445943,0.24811848188366842,31112,3107,31,76
M. Hervé BERGNES,EXG,1223,NON,0.011300113647913222,0.016436404687667994,31112,3107,31,76
M. Jacques OBERTI,UG,28631,QUALIF T2,0.2722820298234936,0.36235350697344776,23611,3110,31,76
Mme Caroline FALGAS-COLOMINA,RN,23993,QUALIF T2,0.22817445222154595,0.3036550484724226,23611,3110,31,76
Mme Dominique FAURE,ENS,22910,QUALIF T2,0.21787507608034085,0.2899486167008378,23611,3110,31,76
M. Romain GRESLE,REC,1123,NON,0.010679777845404748,0.014212671172197332,23611,3110,31,76
Mme Frédérique SOULIER,DVC,728,NON,0.0069233110164333535,0.009213557091148404,23611,3110,31,76
M. Adrien BOURGEADE,ECO,558,NON,0.005306603773584905,0.007062039638545068,23611,3110,31,76
Mme Lucile SOUCHE,EXG,523,NON,0.004973752282410225,0.006619080163009087,23611,3110,31,76
M. Gilles CORSO,DIV,389,NON,0.0036994065733414487,0.004923178170957046,23611,3110,31,76
Mme Arlette BOUZON,DIV,158,NON,0.0015025867315885575,0.001999645632419571,23611,3110,31,76
M. François UBEDA,LR,1,NON,9.51004260499087e-06,1.2655985015313742e-05,23611,3110,31,76
M. Julien LEONARDELLI,RN,29897,QUALIF T2,0.2748239663191955,0.39518591463656433,30528,3105,31,76
M. Jean-François PORTARRIEU,ENS,22267,QUALIF T2,0.20468626477671759,0.294330694090122,30528,3105,31,76
Mme Sylvie ESPAGNOLLE,UG,20925,QUALIF T2,0.1923501185814351,0.2765918073308395,30528,3105,31,76
Mme Dominique PIUSSAN,REC,1443,NON,0.013264574485687497,0.0190739296524923,30528,3105,31,76
M. Michel LASERGE,EXG,1000,NON,0.009192359310940746,0.013218246467423632,30528,3105,31,76
Mme Sylvie BONNEMAISON,REG,121,NON,0.0011122754766238303,0.0015994078225582595,30528,3105,31,76
Mme Anne STAMBACH-TERRENOIR,UG,30402,QUALIF T2,0.28520502453164726,0.4052681392217764,29396,3102,31,76
M. Jean-Luc LAGLEIZE,ENS,20934,QUALIF T2,0.19638451363546816,0.27905674713731554,29396,3102,31,76
M. Frank KHALIFA,RN,19815,QUALIF T2,0.18588703246808072,0.26414012823759947,29396,3102,31,76
Mme Pauline LORANS,REC,1366,NON,0.012814619548392544,0.018209205913326313,29396,3102,31,76
M. Maxime MAYORAL,ECO,1306,NON,0.012251751925476327,0.01740938720556674,29396,3102,31,76
M. Arthur NESTIER,ECO,606,NON,0.005684962991453793,0.008078168948371703,29396,3102,31,76
Mme Clotilde BARTHÉLÉMY,EXG,588,NON,0.005516102704578928,0.00783822333604383,29396,3102,31,76
Mme Agathe ROBY,UG,21064,QUALIF T2,0.2571320450689095,0.3457649376231123,19856,3103,31,76
Mme Corinne VIGNON,ENS,20227,QUALIF T2,0.24691463518841783,0.33202560735390674,19856,3103,31,76
Mme Stéphanie ALARCON,RN,13022,QUALIF T2,0.15896190139039784,0.21375574523965857,19856,3103,31,76
M. Clément DELMAS,LR,3307,NON,0.04036914513116615,0.05428430728824688,19856,3103,31,76
M. Baptiste ROBERT,DVG,828,NON,0.010107545258120826,0.013591595535128037,19856,3103,31,76
Mme Marie-Pierre BOUCHET,DVC,731,NON,0.008923448772568024,0.011999343401181879,19856,3103,31,76
M. Philippe SOLERI,REC,683,NON,0.00833750411992334,0.011211424819435324,19856,3103,31,76
Mme Domitille ALLORANT,ECO,613,NON,0.007483001501483172,0.010062376887721602,19856,3103,31,76
Mme Malena ADRADA,EXG,254,NON,0.003100623786911461,0.004169402495075509,19856,3103,31,76
M. Philippe MAURY,DVD,162,NON,0.001977563202675814,0.002659225213394616,19856,3103,31,76
M. Noël NÉMOUTHÉ,REG,29,NON,0.00035400822763949753,0.0004760341431385424,19856,3103,31,76
M. Hadrien CLOUET,UG,26985,QUALIF T2,0.3166138683562126,0.45523558884558935,24258,3101,31,76
Mme Elodie HOBET,ENS,16063,QUALIF T2,0.18846650240525636,0.2709819997638207,24258,3101,31,76
Mme Lola CHAMBELIN,RN,12636,QUALIF T2,0.14825765575501584,0.21316868262563896,24258,3101,31,76
Mme Evelyne BOUJAT,DVC,1601,NON,0.018784465563768626,0.02700878924372016,24258,3101,31,76
M. Jean-Marie TROUILLET,REC,1028,NON,0.01206148069928429,0.01734230814649864,24258,3101,31,76
M. Alexis DE BERRANGER,DIV,574,NON,0.006734717822363017,0.00968335104678037,24258,3101,31,76
M. Olivier LE PENVEN,EXG,390,NON,0.0045758535726856744,0.006579280327951819,24258,3101,31,76
M. Arnaud SIMION,UG,29031,QUALIF T2,0.24733757050113314,0.34027216146840605,29722,3106,31,76
Mme Nadine DEMANGE-FIERLEJ,RN,26379,QUALIF T2,0.22474312880194933,0.30918808678223564,29722,3106,31,76
Mme Monique IBORRA,ENS,25256,QUALIF T2,0.21517542215482133,0.296025411113846,29722,3106,31,76
Mme Sandra LAPORTE,ECO,2773,NON,0.023625334401145056,0.0325023148962106,29722,3106,31,76
M. Annaël GÉRARD,REC,1104,NON,0.009405830933596879,0.012939976792432927,29722,3106,31,76
Mme Michèle Marie Rose Albertine PUEL,EXG,774,NON,0.0065943053827934636,0.009072048946868737,29722,3106,31,76
Mme Christine ARRIGHI,UG,26472,QUALIF T2,0.32533674171664534,0.475311523682982,24179,3109,31,76
Mme Caroline BEOUT,RN,13865,QUALIF T2,0.17039868252875823,0.24894961755305778,24179,3109,31,76
M. Florian DELRIEU,ENS,12451,QUALIF T2,0.15302084357486972,0.22356088627141163,24179,3109,31,76
Mme Camille CLINET,DVC,1202,NON,0.01477239209517255,0.021582217114949547,24179,3109,31,76
Mme Christelle FILIPPI,REC,813,NON,0.009991642906302231,0.014597622724171365,24179,3109,31,76
M. Henri MARTIN,EXG,569,NON,0.006992921050044243,0.010216540381369627,24179,3109,31,76
Mme Nathanaëlle LOUBET--SRUH,EXG,322,NON,0.0039573296627666895,0.005781592272058032,24179,3109,31,76
M. François PIQUEMAL,UG,25681,OUI,0.3670811892510006,0.5338752260773756,20810,3104,31,76
Mme Margaux PECH,ENS,12950,NON,0.18510577472841624,0.26921397833814936,20810,3104,31,76
Mme Audrey LARREGLE,RN,7531,NON,0.10764722698684963,0.15655988192004658,20810,3104,31,76
M. Jacme DELMAS,DVC,945,NON,0.013507718696397941,0.019645344365216307,20810,3104,31,76
M. Arthur COTTREL,REC,734,NON,0.010491709548313322,0.015258923559861132,20810,3104,31,76
M. Patrick MARCIREAU,EXG,262,NON,0.003744997141223556,0.005446645739350976,20810,3104,31,76
M. Paul CAZALS,EXG,0,NON,0.0,0.0,20810,3104,31,76
M. Jean-Luc YELMA,RN,18575,QUALIF T2,0.2535559256326954,0.35714972408621587,19098,3201,32,76
M. Jean-René CAZENEUVE,ENS,16072,QUALIF T2,0.21938900870894645,0.3090234382510719,19098,3201,32,76
M. Pascal LEVIEUX,UG,14129,QUALIF T2,0.1928663081165197,0.27166451960237653,19098,3201,32,76
M. Alexis BOUDAUD ANDUAGA,ECO,1375,NON,0.01876928117065713,0.02643773193101194,19098,3201,32,76
M. Ludovic LARRÉ,REG,959,NON,0.013090720467389226,0.018439116306793055,19098,3201,32,76
Mme Aurore CAZES,REC,587,NON,0.008012776761582352,0.011286508104366553,19098,3201,32,76
M. Jean-Louis CHARETON,EXG,296,NON,0.004040514346556007,0.005691322655694207,19098,3201,32,76
M. Adrien AYMES,REG,16,NON,0.00021840618089491933,0.0003076390624699571,19098,3201,32,76
M. David TAUPIAC,DVG,24185,QUALIF T2,0.32839529641799964,0.45799719728818694,19322,3202,32,76
Mme Alice CENDRÉ,RN,18739,QUALIF T2,0.25444694891779596,0.35486497746468204,19322,3202,32,76
Mme Barbara NETO,LR,7416,NON,0.10069793335686934,0.1404385865242586,19322,3202,32,76
M. Jean-Luc DAVEZAC,REG,1293,NON,0.017556961681557723,0.024485853880240882,19322,3202,32,76
Mme Martine ARNAUDY,REC,679,NON,0.009219781115063955,0.012858387304472977,19322,3202,32,76
Mme Michèle MARTIN,EXG,481,NON,0.006531244059419385,0.009108813392417528,19322,3202,32,76
Mme Abla LAZORAT,REG,13,NON,0.0001765201097140374,0.0002461841457410143,19322,3202,32,76
Mme Edwige DIAZ,RN,34590,OUI,0.34591383655346214,0.5333436126744275,32559,3311,33,75
Mme Véronique HAMMERER,ENS,14619,NON,0.14619584783391334,0.22541053118495105,32559,3311,33,75
Mme Cécilia FONSECA,UG,14287,NON,0.14287571502860114,0.22029141932002158,32559,3311,33,75
Mme Zina AHMIMOU,EXG,1359,NON,0.01359054362174487,0.0209544368205998,32559,3311,33,75
M. Rémy BERTHONNEAU,RN,24016,QUALIF T2,0.2695065704570704,0.38407778790641145,24589,3312,33,75
Mme Mathilde FELD,UG,18042,QUALIF T2,0.20246658661669154,0.2885381183131027,24589,3312,33,75
M. Pascal LAVERGNE,ENS,17270,QUALIF T2,0.19380323416862116,0.27619184698299987,24589,3312,33,75
M. Gabriel LANDETE,DVD,2180,NON,0.024463870902582174,0.03486382318604168,24589,3312,33,75
M. Richard LAVIN,EXG,1021,NON,0.011457620271346971,0.01632842361144429,24589,3312,33,75
M. Alain DAVID,UG,27092,QUALIF T2,0.27155271783254986,0.42357723577235773,34194,3304,33,75
Mme Julie RECHAGNEUX,RN,20702,QUALIF T2,0.2075034831156595,0.32367104440275174,34194,3304,33,75
M. Fabrice MORETTI,ENS,11045,NON,0.11070794952238716,0.17268605378361476,34194,3304,33,75
M. Jérôme LAMBERT,LR,4387,NON,0.04397245582206541,0.0685897435897436,34194,3304,33,75
Mme Anne-Isabelle BRIVARY,EXG,734,NON,0.00735714214118897,0.011475922451532207,34194,3304,33,75
M. Laurent LAMARA,RN,31248,QUALIF T2,0.25706247223547607,0.3685948853449089,34656,3308,33,75
Mme Sophie PANONACLE,ENS,26881,QUALIF T2,0.22113723490021225,0.31708266490516185,34656,3308,33,75
Mme Marylène FAURE,UG,15849,QUALIF T2,0.13038220437980225,0.186951495706332,34656,3308,33,75
M. Marc MORIN,LR,8673,NON,0.07134865660836802,0.10230489761253185,34656,3308,33,75
Mme Marie-Christine CARIES,REC,1090,NON,0.0089669129139999,0.012857412475228838,34656,3308,33,75
M. Rémy COSTE,EXG,898,NON,0.007387419997038451,0.010592620552986695,34656,3308,33,75
Mme Céline BLUT,DIV,137,NON,0.0011270340084568683,0.0016160234028498631,34656,3308,33,75
M. François-Xavier MARQUES,RN,27868,QUALIF T2,0.2683563319113696,0.38544418472773545,28885,3309,33,75
Mme Sophie METTE,ENS,21714,QUALIF T2,0.20909607403198938,0.3003277962960402,28885,3309,33,75
Mme Corinne MARTINEZ,UG,20163,QUALIF T2,0.19416064017256154,0.278875810846323,28885,3309,33,75
M. Jean-Philippe DELCAMP,EXG,1368,NON,0.01317322599593633,0.018920900125862714,28885,3309,33,75
Mme Sylvie MANTEL,REC,1188,NON,0.011439906785944707,0.01643130800403867,28885,3309,33,75
M. Grégoire DE FOURNAS,RN,35457,QUALIF T2,0.288120718656298,0.42321051312350055,37023,3305,33,75
Mme Pascale GOT,UG,26631,QUALIF T2,0.21640135540333,0.3178644322698464,37023,3305,33,75
M. Stéphane SENCE,ENS,15576,QUALIF T2,0.12656931815411618,0.1859132738926487,37023,3305,33,75
M. Benoït SIMIAN,DVC,3041,NON,0.024710920422872838,0.03629701244912331,37023,3305,33,75
M. Laurent TOUSSAINT,DVD,2218,NON,0.018023288884555067,0.02647378283859109,37023,3305,33,75
M. Thierry FAGEGALTIER,EXG,858,NON,0.006972038711879281,0.01024098542628997,37023,3305,33,75
Mme Sandrine CHADOURNE,RN,25037,QUALIF T2,0.2995250571247413,0.4379624608602865,24550,3310,33,75
M. Florent BOUDIÉ,ENS,17128,QUALIF T2,0.20490734426778642,0.29961341333286684,24550,3310,33,75
M. Pascal BOURGOIS,UG,13885,QUALIF T2,0.16611037337448709,0.2428848811377193,24550,3310,33,75
Mme Hélène HALBIN,EXG,1117,NON,0.013363002308916246,0.019539244669127293,24550,3310,33,75
M. Loïc PRUD'HOMME,UG,30664,QUALIF T2,0.3346319637693021,0.49828564000065,28457,3303,33,75
Mme Ariane ARY,ENS,17080,QUALIF T2,0.18639166257434386,0.27754757145874975,28457,3303,33,75
Mme Maryvonne BASTERES,RN,12037,QUALIF T2,0.131358105527364,0.19559953850403808,28457,3303,33,75
M. Cyrille DOUMENGE,REC,679,NON,0.007409832487586621,0.011033653455532264,28457,3303,33,75
M. Jacques GULDNER,EXG,572,NON,0.006242156381295357,0.009294918669461642,28457,3303,33,75
Mme Flora SAVINO,DVG,305,NON,0.003328422545970426,0.004956206633191959,28457,3303,33,75
M. Nathan MINVIELLE-LARROUSSE,EXG,196,NON,0.002138920718066241,0.0031849721314938496,28457,3303,33,75
M. Johan GIRAUD-GIRARD,DIV,4,NON,4.3651443225841655e-05,6.499943125497652e-05,28457,3303,33,75
M. Yacine TOUZANI,DIV,2,NON,2.1825721612920827e-05,3.249971562748826e-05,28457,3303,33,75
M. Thomas CAZENAVE,ENS,28564,QUALIF T2,0.2698204282893929,0.38313682883317907,29920,3301,33,75
Mme Céline PAPIN,UG,25517,QUALIF T2,0.24103794526888525,0.3422665754563867,29920,3301,33,75
